Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
25.750496,Wed 05/29/19 09:47:15.000 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.002 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.031 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.032 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.034 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.036 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.036 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:16.037 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:17.002 AM,0,22.076679,20.474438,7.209598,5.164062,0.131528,82,82,48.5625,43.53125
25.750496,Wed 05/29/19 09:47:18.002 AM,0,22.075056,20.299759,7.279053,5.265625,0.131526,82,82,48.550781,0
25.750496,Wed 05/29/19 09:47:19.002 AM,0,21.584028,20.128937,6.840452,4.914062,0.128758,82,82,48.535156,0
25.750496,Wed 05/29/19 09:47:19.030 AM,0,21.584028,20.128937,6.840452,4.914062,0.128758,82,82,48.535156,0
25.750496,Wed 05/29/19 09:47:20.002 AM,0,21.113255,19.590237,7.100996,5.140625,0.131575,82,82,48.53125,37.652344
25.823902,Wed 05/29/19 09:47:21.002 AM,0,20.759211,19.001673,7.57361,5.515625,0.131128,82,82,48.519531,37.667969
25.754168,Wed 05/29/19 09:47:22.002 AM,0,20.319811,18.831112,6.887173,4.921875,0.127393,82,82,48.5,37.652344
25.721348,Wed 05/29/19 09:47:23.002 AM,0,19.582352,18.289246,7.342142,5.335938,0.13086,82,82,48.492188,37.628906
25.691984,Wed 05/29/19 09:47:24.002 AM,0,19.120966,17.860155,6.774107,4.84375,0.129379,82,82,48.480469,37.644531
25.688446,Wed 05/29/19 09:47:25.002 AM,0,18.823235,17.357344,7.749389,5.726562,0.128959,82,82,48.429688,37.644531
25.673935,Wed 05/29/19 09:47:26.002 AM,0,18.442341,17.091581,7.294196,5.289062,0.132074,82,82,48.425781,37.644531
25.593189,Wed 05/29/19 09:47:27.002 AM,0,18.233202,17.012589,7.310702,5.265625,0.132863,82,82,48.417969,37.617188
25.505104,Wed 05/29/19 09:47:28.002 AM,0,18.232649,16.851803,7.018267,5.039062,0.127913,82,82,48.402344,37.617188
25.479586,Wed 05/29/19 09:47:29.002 AM,0,18.324339,16.912207,6.688883,4.828125,0.126755,82,82,48.394531,37.589844
25.494438,Wed 05/29/19 09:47:30.002 AM,0,18.07229,16.890862,6.590801,4.632812,0.126977,82,82,48.375,37.585938
25.487268,Wed 05/29/19 09:47:31.002 AM,0,18.072924,16.816536,7.32723,5.289062,0.13165,82,82,48.367188,37.578125
25.468914,Wed 05/29/19 09:47:32.002 AM,0,18.212265,16.776257,6.708237,4.796875,0.125987,82,82,48.367188,37.574219
25.432388,Wed 05/29/19 09:47:33.002 AM,0,18.164938,16.89316,6.703578,4.796875,0.126807,82,82,48.359375,37.574219
25.414036,Wed 05/29/19 09:47:34.002 AM,0,18.120684,16.872496,6.853191,4.921875,0.125662,82,82,48.351562,37.570312
25.377485,Wed 05/29/19 09:47:35.002 AM,0,18.167688,16.74185,8.274347,6.132812,0.130458,82,82,48.324219,37.570312
25.414188,Wed 05/29/19 09:47:36.002 AM,0,18.125338,16.875185,7.443451,5.359375,0.133976,82,82,48.316406,37.566406
25.418053,Wed 05/29/19 09:47:37.002 AM,0,18.146992,16.777899,9.716415,7.242188,0.131546,82,82,48.351562,37.566406
25.454756,Wed 05/29/19 09:47:38.002 AM,0,18.190269,16.774302,19.016134,14.914062,0.152117,82,82,48.421875,37.546875
