Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
24.658907,Thu 05/30/19 12:33:03.000 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.475 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.629 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.633 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.634 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.636 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.636 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:04.636 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:05.475 AM,0,22.167351,20.567904,4.193748,2.953125,0.099075,82,82,48.09375,43.613281
24.658907,Thu 05/30/19 12:33:06.475 AM,0,22.262625,20.652859,3.453432,2.390625,0.096257,82,82,48.039062,0
24.658907,Thu 05/30/19 12:33:07.475 AM,0,21.700212,20.312475,3.436529,2.421875,0.093809,82,82,47.988281,0
24.658907,Thu 05/30/19 12:33:07.632 AM,0,21.700212,20.312475,3.391669,2.414062,0.097171,82,82,47.988281,0
24.658907,Thu 05/30/19 12:33:08.475 AM,0,21.44772,19.73814,3.391669,2.414062,0.097171,82,82,47.933594,37.875
24.637211,Thu 05/30/19 12:33:09.475 AM,0,20.867752,19.243721,6.27432,4.3125,0.096848,82,82,47.890625,37.851562
24.659233,Thu 05/30/19 12:33:10.475 AM,0,20.373398,18.87178,3.416768,2.390625,0.094106,82,82,47.839844,37.84375
24.699776,Thu 05/30/19 12:33:11.475 AM,0,20.040974,18.376066,3.39427,2.414062,0.094845,82,82,47.726562,37.828125
24.72197,Thu 05/30/19 12:33:12.475 AM,0,19.430576,17.970797,3.406007,2.4375,0.094256,82,82,47.679688,37.792969
24.71847,Thu 05/30/19 12:33:13.475 AM,0,18.755959,17.563461,3.52397,2.445312,0.094577,82,82,47.632812,37.777344
24.711302,Thu 05/30/19 12:33:14.475 AM,0,18.54351,17.213432,3.444949,2.429688,0.098584,82,82,47.589844,37.777344
24.718796,Thu 05/30/19 12:33:15.475 AM,0,18.429123,17.055145,4.194,3,0.098433,82,82,47.5625,37.734375
24.72279,Thu 05/30/19 12:33:16.475 AM,0,18.387516,16.877321,3.41694,2.398438,0.098681,82,82,47.519531,37.730469
24.796194,Thu 05/30/19 12:33:17.475 AM,0,18.176586,16.95466,3.389388,2.398438,0.099866,82,82,47.476562,37.730469
24.855261,Thu 05/30/19 12:33:18.475 AM,0,18.247713,16.838245,3.389393,2.390625,0.101304,82,82,47.429688,37.710938
24.881123,Thu 05/30/19 12:33:19.475 AM,0,18.292589,16.74255,3.438606,2.40625,0.100115,82,82,47.390625,37.683594
24.906815,Thu 05/30/19 12:33:20.475 AM,0,18.135565,16.762585,3.376134,2.390625,0.102043,82,82,47.335938,37.664062
24.947361,Thu 05/30/19 12:33:21.475 AM,0,18.138487,16.934881,3.417481,2.398438,0.100113,82,82,47.230469,37.664062
24.965881,Thu 05/30/19 12:33:22.475 AM,0,18.177963,16.796999,3.389371,2.390625,0.094179,82,82,47.175781,37.621094
