Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
25.56628,Wed 05/29/19 05:47:35.622 PM,0,18.297518,16.751122,3.077161,2.335938,0.094689,82,82,50.714844,39.777344
25.511227,Wed 05/29/19 05:47:36.622 PM,0,18.046831,16.656874,3.060957,2.296875,0.09622,82,82,50.636719,39.75
25.452501,Wed 05/29/19 05:47:37.622 PM,0,18.36838,16.849752,3.058883,2.328125,0.095355,82,82,50.5625,39.746094
25.404789,Wed 05/29/19 05:47:38.622 PM,0,18.345818,16.730492,3.05855,2.320312,0.095996,82,82,50.480469,39.746094
25.401119,Wed 05/29/19 05:47:39.622 PM,0,18.116217,16.829115,3.114182,2.320312,0.094343,82,82,50.402344,39.683594
25.386438,Wed 05/29/19 05:47:40.622 PM,0,18.097,16.908632,3.142463,2.375,0.096291,82,82,50.328125,39.660156
25.441645,Wed 05/29/19 05:47:41.622 PM,0,18.23348,16.907124,3.785969,2.898438,0.092639,82,82,50.257812,39.664062
25.426964,Wed 05/29/19 05:47:42.622 PM,0,18.119589,16.71542,3.045557,2.335938,0.091999,82,82,50.144531,39.664062
25.386591,Wed 05/29/19 05:47:43.622 PM,0,18.07365,16.750341,3.050503,2.320312,0.091776,82,82,50.070312,39.578125
25.342548,Wed 05/29/19 05:47:44.622 PM,0,18.213737,16.831396,3.097089,2.335938,0.089283,82,82,49.996094,39.578125
25.327868,Wed 05/29/19 05:47:45.622 PM,0,18.189259,16.754238,3.086976,2.328125,0.095206,82,82,49.921875,39.578125
25.335207,Wed 05/29/19 05:47:46.622 PM,0,18.305052,16.733135,3.08594,2.328125,0.095946,82,82,49.851562,39.535156
25.375771,Wed 05/29/19 05:47:47.622 PM,0,18.053801,16.831396,3.064096,2.320312,0.09449,82,82,49.785156,39.535156
25.456516,Wed 05/29/19 05:47:48.622 PM,0,18.188431,16.830374,3.051723,2.304688,0.095008,82,82,49.71875,39.519531
25.496698,Wed 05/29/19 05:47:49.622 PM,0,18.055067,16.749561,3.130403,2.34375,0.09328,82,82,49.65625,39.527344
25.485878,Wed 05/29/19 05:47:50.622 PM,0,18.120956,16.733601,3.057904,2.328125,0.094267,82,82,49.59375,39.527344
25.467527,Wed 05/29/19 05:47:51.622 PM,0,18.281906,16.830765,3.777199,2.875,0.093723,82,82,49.535156,39.46875
25.430824,Wed 05/29/19 05:47:52.622 PM,0,18.120684,16.733368,3.037077,2.3125,0.091995,82,82,49.445312,39.46875
25.467659,Wed 05/29/19 05:47:53.622 PM,0,18.122234,16.828171,3.029064,2.304688,0.089059,82,82,49.386719,39.417969
25.592447,Wed 05/29/19 05:47:54.622 PM,0,18.122324,16.732201,3.096643,2.335938,0.091898,82,82,49.328125,39.398438
25.702555,Wed 05/29/19 05:47:55.622 PM,0,18.122873,16.750731,3.04877,2.296875,0.094415,82,82,49.273438,39.371094
25.643831,Wed 05/29/19 05:47:56.622 PM,0,18.122688,16.734766,3.020906,2.3125,0.09323,82,82,49.21875,39.351562
